2018-08-14T01:21:06.853860143Z INFO test-dg-741-seed-0  ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~
2018-08-14T01:21:06.853861516Z INFO test-dg-741-seed-0  DEPLOY START
2018-08-14T01:21:06.853863626Z INFO test-dg-741-seed-0                  gcloud compute instances create test-dg-741-seed-0 --image-project debian-cloud --image-family debian-9 --machine-type n1-standard-2 --tags disgo-node
2018-08-14T01:21:17.581104263Z INFO test-dg-741-seed-0                  gcloud compute ssh test-dg-741-seed-0 --command 'curl https://raw.githubusercontent.com/dispatchlabs/samples/dev/deployment/vm-debian9-new-node.sh -o vm-debian9-new-node.sh'
2018-08-14T01:21:38.604056029Z INFO test-dg-741-seed-0                  gcloud compute ssh test-dg-741-seed-0 --command 'bash vm-debian9-new-node.sh dev'
2018-08-14T01:21:41.168259728Z INFO test-dg-741-seed-0                  gcloud compute scp /Users/nic0lae/go/src/github.com/dispatchlabs/samples/deployment/google-cloud/new-nodes/nFhEkxXijjIvAwYbwwvR.json test-dg-741-seed-0:~/config.json
2018-08-14T01:21:41.168266938Z INFO test-dg-741-seed-0                  gcloud compute ssh test-dg-741-seed-0 --command 'sudo mv ~/config.json /go-binaries/config/ && sudo chown -R dispatch-services:dispatch-services /go-binaries'
2018-08-14T01:21:41.168267205Z INFO test-dg-741-seed-0                  gcloud compute ssh test-dg-741-seed-0 --command 'sudo sudo systemctl restart dispatch-disgo-node'
2018-08-14T01:21:47.394603375Z INFO test-dg-741-delegate-0  ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~
2018-08-14T01:21:47.394618509Z INFO test-dg-741-delegate-0  DEPLOY START
2018-08-14T01:21:47.394625051Z INFO test-dg-741-delegate-0                  gcloud compute instances create test-dg-741-delegate-0 --image-project debian-cloud --image-family debian-9 --machine-type n1-standard-2 --tags disgo-node
2018-08-14T01:21:57.329849634Z INFO test-dg-741-delegate-0                  gcloud compute ssh test-dg-741-delegate-0 --command 'curl https://raw.githubusercontent.com/dispatchlabs/samples/dev/deployment/vm-debian9-new-node.sh -o vm-debian9-new-node.sh'
2018-08-14T01:22:18.186612731Z INFO test-dg-741-delegate-0                  gcloud compute ssh test-dg-741-delegate-0 --command 'bash vm-debian9-new-node.sh dev'
2018-08-14T01:22:20.645603521Z INFO test-dg-741-delegate-0                  gcloud compute scp /Users/nic0lae/go/src/github.com/dispatchlabs/samples/deployment/google-cloud/new-nodes/tnkAclwCYyVyNOLOOdbO.json test-dg-741-delegate-0:~/config.json
2018-08-14T01:22:20.645611169Z INFO test-dg-741-delegate-0                  gcloud compute ssh test-dg-741-delegate-0 --command 'sudo mv ~/config.json /go-binaries/config/ && sudo chown -R dispatch-services:dispatch-services /go-binaries'
2018-08-14T01:22:20.645611507Z INFO test-dg-741-delegate-0                  gcloud compute ssh test-dg-741-delegate-0 --command 'sudo sudo systemctl restart dispatch-disgo-node'
2018-08-14T01:22:26.845232569Z INFO test-dg-741-scandis  ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~ ~~~~
2018-08-14T01:22:26.845241293Z INFO test-dg-741-scandis  DEPLOY SCANDIS START
2018-08-14T01:22:26.845247417Z INFO test-dg-741-scandis                  gcloud compute instances create test-dg-741-scandis --image-project debian-cloud --image-family debian-9 --machine-type n1-standard-2 --tags default-allow-http, default-allow-https
2018-08-14T01:22:27.182133748Z INFO test-dg-741-scandis                  gcloud compute ssh test-dg-741-scandis --command 'curl https://raw.githubusercontent.com/dispatchlabs/samples/dev/deployment/ -o '
2018-08-14T01:22:28.055881107Z INFO test-dg-741-scandis                  gcloud compute ssh test-dg-741-scandis --command 'bash  dev 35.233.208.28:1975'
